target,m,T,k_true,n_clusters,n_active,loss,max_da,max_db,active_leq_k
poly_k3,50,500,3,29,47,2.433857272483964e-05,0.003880997226075968,0.0016593838661919773,0
poly_k3,100,500,3,45,87,3.749461651510098e-05,0.001380047145956753,0.00046037757931717495,0
poly_k3,250,500,3,35,159,1.1431647647501104e-05,0.0013896679242296065,0.00041555267916227706,0
poly_k3,500,500,3,20,137,1.315273285681782e-05,0.0014185102943717136,0.00039632316005527277,0
poly_k3,1000,500,3,11,133,1.2288801577723671e-05,0.0025671148610090524,0.0006892517470313394,0
poly_k3,2000,500,3,7,281,1.2581386983988925e-05,0.0013198709391761413,0.0002723985456259102,0
poly_k3,3500,500,3,4,412,1.4873447114548491e-05,0.002964311484334164,0.0006051326725274611,0
poly_k3,5000,500,3,2,937,2.0941481576836922e-05,0.007194121645496963,0.0011989760533739023,0
sin_1pi,50,500,1,31,48,3.663856697092031e-05,0.00038908612357854705,0.00022464045613613498,0
sin_1pi,100,500,1,45,94,2.7660337335584226e-05,0.00023945690688583808,0.00012861002624547845,0
sin_1pi,250,500,1,22,226,1.1475483138376909e-05,0.00019572005194178188,6.172027623372299e-05,0
sin_1pi,500,500,1,6,442,1.0752755387429804e-05,0.000524252094976935,9.019708160414554e-05,0
sin_1pi,1000,500,1,1,772,9.08119920681151e-06,0.003159866168696744,0.00028711010954033566,0
sin_1pi,2000,500,1,1,1503,3.9693864016713725e-06,0.001118690837350104,7.342959553159709e-05,0
sin_1pi,3500,500,1,1,2609,3.2265671449415444e-06,0.0012072197691623547,6.806460621172591e-05,0
sin_1pi,5000,500,1,1,3734,4.7189983054619e-06,0.003550256961564605,0.00016359119610650854,0
sin_2pi,50,500,3,26,50,0.0015326618287752427,0.0009995005840442005,0.0011561308949953502,0
sin_2pi,100,500,3,29,98,0.0006663544009514309,0.0005585984427126437,0.000529168447246107,0
sin_2pi,250,500,3,13,246,0.00012509174950149684,0.006199783490034458,0.0018500782566005652,0
sin_2pi,500,500,3,8,478,5.79483859123685e-05,0.002030965184501672,0.000447056250856822,0
sin_2pi,1000,500,3,2,918,2.897979962480125e-05,0.0009678227767142726,0.00017904547661684228,0
sin_2pi,2000,500,3,1,1812,1.722414984036518e-05,0.0023891697276596474,0.00022822617567479266,0
sin_2pi,3500,500,3,1,2956,1.3894974727692567e-05,0.003294507380891729,0.00025052708720994376,0
sin_2pi,5000,500,3,1,4116,2.0286076274115454e-05,0.007855283483632453,0.0004516606317180051,0
sin_3pi,50,500,5,11,50,0.016854765749244424,0.002144553200629547,0.0017056079698723366,0
sin_3pi,100,500,5,16,100,0.006539421613503059,0.0015774753380481405,0.0014888207958338245,0
sin_3pi,250,500,5,23,247,0.0012442989940072064,0.0012583284307387532,0.0006666170621041639,0
sin_3pi,500,500,5,14,491,0.0005042044252675524,0.003805221694713305,0.0015460629193543155,0
sin_3pi,1000,500,5,5,963,0.00014718415417247735,0.001343724315698999,0.00035397945749988637,0
sin_3pi,2000,500,5,1,1893,6.239689301841707e-05,0.007584895252375288,0.0009252780636869786,0
sin_3pi,3500,500,5,1,3197,3.4499083512340106e-05,0.004277614397678536,0.000364221321372458,0
sin_3pi,5000,500,5,1,4529,2.7957390319637095e-05,0.006165136674174515,0.0004473004834812297,0
sin_4pi,50,500,7,9,50,0.09256780170318701,0.004104802644732017,0.003884773235609814,0
sin_4pi,100,500,7,11,100,0.029852035413180624,0.003027162252082507,0.0033076072984569395,0
sin_4pi,250,500,7,21,250,0.007862423391576293,0.003177124704325631,0.002267478507437676,0
sin_4pi,500,500,7,26,497,0.003178469029736232,0.016570491527739165,0.006615479920471339,0
sin_4pi,1000,500,7,17,985,0.0008628640152331616,0.012248689170975099,0.003710088862225482,0
sin_4pi,2000,500,7,2,1956,0.00021752217122724215,0.0023512395880563326,0.00044520501832829,0
sin_4pi,3500,500,7,1,3339,0.00010013517707048367,0.004416649981193885,0.0005768158925914157,0
sin_4pi,5000,500,7,1,4706,6.521500906184027e-05,0.00476069803407637,0.00046495221558970725,0
sin_5pi,50,500,9,11,50,0.21554753868974366,0.004144846142887972,0.007792701695849631,0
sin_5pi,100,500,9,11,100,0.12059651195616967,0.004147057003518558,0.0019392019018430373,0
sin_5pi,250,500,9,18,248,0.023535097028813484,0.0025025567494646956,0.002010607315039641,0
sin_5pi,500,500,9,23,500,0.00941836196408392,0.009948563937233436,0.004777862193228637,0
sin_5pi,1000,500,9,31,996,0.003514188542095863,0.031131806487856305,0.00982064958741724,0
sin_5pi,2000,500,9,13,1964,0.0008151178865860983,0.0028430528151525834,0.0006520766573374431,0
sin_5pi,3500,500,9,2,3385,0.00036210143565626105,0.004008190999553491,0.0005310222998136798,0
sin_5pi,5000,500,9,1,4780,0.00020880840608147687,0.011380482260324804,0.0013446255820694201,0
sin_6pi,50,500,11,13,50,0.3230081066484388,0.0044795815392397855,0.008274184716632195,0
sin_6pi,100,500,11,14,100,0.23948194165653533,0.005145028893212052,0.016009032398628338,0
sin_6pi,250,500,11,14,250,0.09182134436666972,0.004071371477156644,0.0032991730045971905,0
sin_6pi,500,500,11,15,498,0.023393907283050935,0.005661921071138438,0.00228424107509809,0
sin_6pi,1000,500,11,31,994,0.009450630238025472,0.03416521357421524,0.011113499595026322,0
sin_6pi,2000,500,11,40,1987,0.003616091106639299,0.008960522124803038,0.002160666550474585,0
sin_6pi,3500,500,11,13,3432,0.001164385744849746,0.012024465736714167,0.0023144950640802257,0
sin_6pi,5000,500,11,2,4861,0.0005997817567552536,0.005283710203227103,0.0007818117460957847,0
sin_7pi,50,500,13,14,50,0.4037791226209442,0.0033623566783573923,0.007631358812895528,0
sin_7pi,100,500,13,15,100,0.32730882422268215,0.004370813303715433,0.0071907445304006746,0
sin_7pi,250,500,13,18,248,0.18362549388907423,0.013446014399639647,0.011321266672938925,0
sin_7pi,500,500,13,17,500,0.07091859812561219,0.006389124469040028,0.00236497911661047,0
sin_7pi,1000,500,13,22,999,0.018652732792257057,0.006881380427548541,0.00256421440681286,0
sin_7pi,2000,500,13,36,1995,0.008176086696935495,0.010259123209837448,0.0019591542362442024,0
sin_7pi,3500,500,13,34,3470,0.003942375751266454,0.007973615436558808,0.0013045987780245427,0
sin_7pi,5000,500,13,13,4920,0.0019520944498600946,0.03389979344639311,0.005511943570763757,0
x_cubed,50,500,1,31,46,6.843920428821205e-05,0.001609093097606983,0.0004964636555202376,0
x_cubed,100,500,1,40,69,7.440011502259627e-05,0.0005537257949107657,0.0001580392395921312,0
x_cubed,250,500,1,31,125,2.3584354098891295e-05,0.0003195680797609302,7.527626678618184e-05,0
x_cubed,500,500,1,16,91,2.9186520014619088e-05,0.00034684208022806175,8.94183210010558e-05,0
x_cubed,1000,500,1,13,148,2.714702964437588e-05,0.0027391148879764146,0.0005756187665018868,0
x_cubed,2000,500,1,7,395,2.5543398767994502e-05,0.0014914424595406954,0.00022915451688199458,0
x_cubed,3500,500,1,4,675,3.645852712266897e-05,0.008393414794198351,0.0014006093944391878,0
x_cubed,5000,500,1,4,765,3.2814659740568465e-05,0.003017408750633142,0.000493200186019698,0
