target,m,k_true,condition,trial,n_neurons,final_loss,loss_at_25pct,loss_at_50pct,T
sin_1pi,500,1,full,0,500,1.0083557633154867e-05,5.1214944513872714e-05,2.5070152229781724e-05,500
sin_1pi,500,1,geometric,0,1,0.3305772711107442,0.3305772722874101,0.33057727111076574,500
sin_1pi,500,1,bias_only,0,1,0.3305772711107442,0.33057727233063167,0.3305772711107665,500
sin_1pi,500,1,amp_only,0,1,0.3305772711107442,0.3305772722537345,0.3305772711107651,500
sin_1pi,500,1,random_k,0,1,0.3305772711107442,0.3305772722902788,0.3305772711107658,500
sin_1pi,500,1,random_k,1,1,0.3305772711107442,0.33057727214243254,0.33057727111076307,500
sin_1pi,500,1,random_k,2,1,0.3305772711107442,0.3305772721835882,0.33057727111076385,500
sin_1pi,500,1,random_k,3,1,0.3305772711107442,0.33057727319148394,0.3305772711107823,500
sin_1pi,500,1,random_k,4,1,0.3305772711107442,0.3305772726599441,0.3305772711107725,500
sin_1pi,1000,1,full,0,1000,7.049739809308857e-06,2.3711018988123896e-05,1.3955016516456915e-05,500
sin_1pi,1000,1,geometric,0,1,0.3305772711107442,0.33057727235185674,0.3305772711107669,500
sin_1pi,1000,1,bias_only,0,1,0.3305772711107442,0.3305772723325372,0.3305772711107665,500
sin_1pi,1000,1,amp_only,0,1,0.3305772711107442,0.3305772722600653,0.3305772711107652,500
sin_1pi,1000,1,random_k,0,1,0.3305772711107442,0.3305772722771848,0.33057727111076557,500
sin_1pi,1000,1,random_k,1,1,0.3305772711107442,0.33057727250087,0.3305772711107696,500
sin_1pi,1000,1,random_k,2,1,0.3305772711107442,0.3305772728163085,0.3305772711107754,500
sin_1pi,1000,1,random_k,3,1,0.3305772711107442,0.3305772729428237,0.3305772711107777,500
sin_1pi,1000,1,random_k,4,1,0.3305772711107442,0.33057727279480065,0.33057727111077506,500
sin_1pi,1500,1,full,0,1500,6.331371175587525e-06,1.706888792670049e-05,8.489024069493448e-06,500
sin_1pi,1500,1,geometric,0,1,0.3305772711107442,0.33057727231095746,0.3305772711107661,500
sin_1pi,1500,1,bias_only,0,1,0.3305772711107442,0.3305772722815036,0.3305772711107656,500
sin_1pi,1500,1,amp_only,0,1,0.3305772711107442,0.3305772722515622,0.330577271110765,500
sin_1pi,1500,1,random_k,0,1,0.3305772711107442,0.3305772723845085,0.33057727111076757,500
sin_1pi,1500,1,random_k,1,1,0.3305772711107442,0.33057727263678627,0.3305772711107722,500
sin_1pi,1500,1,random_k,2,1,0.3305772711107442,0.33057727274846427,0.3305772711107742,500
sin_1pi,1500,1,random_k,3,1,0.3305772711107442,0.3305772726430473,0.33057727111077223,500
sin_1pi,1500,1,random_k,4,1,0.3305772711107442,0.33057728005721465,0.33057727111090796,500
sin_2pi,500,3,full,0,500,5.862771478324287e-05,0.00045111903052079356,0.0001681878558073084,500
sin_2pi,500,3,geometric,0,3,0.3214861147995316,0.3324581112223208,0.32492267474031766,500
sin_2pi,500,3,bias_only,0,3,0.3214880392684071,0.3325183713493002,0.3249373301802256,500
sin_2pi,500,3,amp_only,0,3,0.38805501612694815,0.3881114596269768,0.388063140220695,500
sin_2pi,500,3,random_k,0,3,0.20688119170781694,0.2795352750528384,0.23295517195863744,500
sin_2pi,500,3,random_k,1,3,0.2759419249558335,0.3338758809674138,0.30347930116905425,500
sin_2pi,500,3,random_k,2,3,0.3880626091198894,0.388045160375864,0.38806344164720297,500
sin_2pi,500,3,random_k,3,3,0.4213367884659174,0.4223557004872097,0.4219537173095437,500
sin_2pi,500,3,random_k,4,3,0.321515723369798,0.3330765574035626,0.3250557095176811,500
sin_2pi,1000,3,full,0,1000,2.6525279441920088e-05,0.00018719177135123139,7.67951950386173e-05,500
sin_2pi,1000,3,geometric,0,3,0.3214861031713938,0.33249089756456196,0.3249318877403278,500
sin_2pi,1000,3,bias_only,0,3,0.3214833673566807,0.33242409849363214,0.3249156482680178,500
sin_2pi,1000,3,amp_only,0,3,0.3880529241971297,0.38811613799457356,0.38806201957133646,500
sin_2pi,1000,3,random_k,0,3,0.4731175003699988,0.47321975936435334,0.473182391935811,500
sin_2pi,1000,3,random_k,1,3,0.38786570727684333,0.4051711483637611,0.3971673156259743,500
sin_2pi,1000,3,random_k,2,3,0.20691465357755712,0.2799766838619894,0.23310176509300315,500
sin_2pi,1000,3,random_k,3,3,0.3836141818142257,0.40670476462029503,0.3958901248501924,500
sin_2pi,1000,3,random_k,4,3,0.388065424715805,0.3880608382973929,0.388061432066415,500
sin_2pi,1500,3,full,0,1500,1.470564649630457e-05,7.569315997727876e-05,3.457466447819205e-05,500
sin_2pi,1500,3,geometric,0,3,0.321487186983839,0.33248191759724544,0.32492642217371337,500
sin_2pi,1500,3,bias_only,0,3,0.3214868941858129,0.33251593288630144,0.32493560367814356,500
sin_2pi,1500,3,amp_only,0,3,0.3880536788479303,0.38811072585247175,0.3880623547571877,500
sin_2pi,1500,3,random_k,0,3,0.4214289114007602,0.42254297013810443,0.4220878700861119,500
sin_2pi,1500,3,random_k,1,3,0.20683645340525936,0.2789361097788384,0.23274904050824036,500
sin_2pi,1500,3,random_k,2,3,0.4153651696276388,0.41536502077112514,0.4153642872481008,500
sin_2pi,1500,3,random_k,3,3,0.20693452438041865,0.2802371909818883,0.23319584666583526,500
sin_2pi,1500,3,random_k,4,3,0.20766383014754414,0.2903806412937963,0.2366000797073154,500
sin_3pi,500,5,full,0,500,0.0004659550502847141,0.003796331529772428,0.0014468508022259163,500
sin_3pi,500,5,geometric,0,5,0.42677649446365296,0.42862205796491604,0.42746585515883084,500
sin_3pi,500,5,bias_only,0,5,0.4267927734809312,0.4286619077183039,0.4274857994766217,500
sin_3pi,500,5,amp_only,0,5,0.46591654007724825,0.46604978356214827,0.4659454711646619,500
sin_3pi,500,5,random_k,0,5,0.37048473985223174,0.4069007595982641,0.38726248471730434,500
sin_3pi,500,5,random_k,1,5,0.2937895809199258,0.39721487435912506,0.3490332721149966,500
sin_3pi,500,5,random_k,2,5,0.4027650640118672,0.41131913537384035,0.40554457282529816,500
sin_3pi,500,5,random_k,3,5,0.4172462273387155,0.4275319209007444,0.4231696122845092,500
sin_3pi,500,5,random_k,4,5,0.46596545608701906,0.46605580171409444,0.46597734344130554,500
sin_3pi,1000,5,full,0,1000,0.0001454363662926003,0.001132975298184062,0.00043490017242120275,500
sin_3pi,1000,5,geometric,0,5,0.4267882247888909,0.4286558854364412,0.42748369514044215,500
sin_3pi,1000,5,bias_only,0,5,0.42679808742057035,0.4286753734176698,0.42749827224304265,500
sin_3pi,1000,5,amp_only,0,5,0.46592077495807066,0.4661693757041049,0.46594983256664935,500
sin_3pi,1000,5,random_k,0,5,0.3493670813170937,0.42631802305237293,0.37906634392981525,500
sin_3pi,1000,5,random_k,1,5,0.3169024370161098,0.3933717058588311,0.35486522502568,500
sin_3pi,1000,5,random_k,2,5,0.2591408556898732,0.389418520796995,0.3324487921203337,500
sin_3pi,1000,5,random_k,3,5,0.43275031816046666,0.4327462916357654,0.4327522795433374,500
sin_3pi,1000,5,random_k,4,5,0.36374948352771064,0.43040883557868337,0.395609407014648,500
sin_3pi,1500,5,full,0,1500,7.347842248214224e-05,0.000548144520839662,0.00021909050876040752,500
sin_3pi,1500,5,geometric,0,5,0.42678527383149517,0.4286446819779734,0.4274809056041252,500
sin_3pi,1500,5,bias_only,0,5,0.4267945695289643,0.4286608208930296,0.4274872722938312,500
sin_3pi,1500,5,amp_only,0,5,0.46592542481063376,0.4661532337904821,0.46595483263293014,500
sin_3pi,1500,5,random_k,0,5,0.40365634815682827,0.41305702200111133,0.40701887565296274,500
sin_3pi,1500,5,random_k,1,5,0.33161872392162023,0.3974821469899825,0.3636387413229668,500
sin_3pi,1500,5,random_k,2,5,0.33619524160936143,0.37573442016374214,0.35035978579995697,500
sin_3pi,1500,5,random_k,3,5,0.44366685119466037,0.4436614107131357,0.4436644735438529,500
sin_3pi,1500,5,random_k,4,5,0.3640515389894474,0.4097839558258982,0.38718948925366975,500
sin_4pi,500,7,full,0,500,0.003922455154567438,0.01740514911302101,0.007245337632366032,500
sin_4pi,500,7,geometric,0,7,0.3988792398491764,0.4539130539499483,0.42655560603606946,500
sin_4pi,500,7,bias_only,0,7,0.3979486110104642,0.45409408443236254,0.4257046346491587,500
sin_4pi,500,7,amp_only,0,7,0.43839411399069833,0.45551353285816754,0.4453438069468405,500
sin_4pi,500,7,random_k,0,7,0.3877565811423702,0.4469545081815734,0.4326900731679114,500
sin_4pi,500,7,random_k,1,7,0.3930286685488482,0.4299830569854014,0.40751584414078185,500
sin_4pi,500,7,random_k,2,7,0.44537619513775467,0.4524218885847705,0.4490060491166037,500
sin_4pi,500,7,random_k,3,7,0.41838303068263605,0.43134105516225885,0.4228390427567475,500
sin_4pi,500,7,random_k,4,7,0.4002629553457459,0.4515719461247284,0.42514692943847066,500
sin_4pi,1000,7,full,0,1000,0.0007995239619944217,0.0062133774503081735,0.0023777594549814008,500
sin_4pi,1000,7,geometric,0,7,0.3986628528871397,0.453738545152372,0.4260634239683858,500
sin_4pi,1000,7,bias_only,0,7,0.40506823895263044,0.44551718582350197,0.42737514483257916,500
sin_4pi,1000,7,amp_only,0,7,0.4382246645080943,0.45458400373844887,0.44490795227981406,500
sin_4pi,1000,7,random_k,0,7,0.394688632042637,0.43499034670770353,0.41065600686297243,500
sin_4pi,1000,7,random_k,1,7,0.39399515086755676,0.4440978373343232,0.42201193568884665,500
sin_4pi,1000,7,random_k,2,7,0.4201917302806695,0.4444572023300325,0.43345310302952866,500
sin_4pi,1000,7,random_k,3,7,0.40969400495708397,0.4529321863263903,0.43802280802337534,500
sin_4pi,1000,7,random_k,4,7,0.3897801518565486,0.4179975428772329,0.3996305688623316,500
sin_4pi,1500,7,full,0,1500,0.0003307043102681857,0.0028357189548474594,0.001077492000470412,500
sin_4pi,1500,7,geometric,0,7,0.3972109422906152,0.4532217213545854,0.42378779994673066,500
sin_4pi,1500,7,bias_only,0,7,0.3976746474025669,0.45374256007308633,0.4250178943679639,500
sin_4pi,1500,7,amp_only,0,7,0.4381170777338368,0.45402400234620255,0.4446878189114193,500
sin_4pi,1500,7,random_k,0,7,0.43934108906611297,0.4482049083137438,0.44191498547824326,500
sin_4pi,1500,7,random_k,1,7,0.4183060431987841,0.4646307692151778,0.4482930771185459,500
sin_4pi,1500,7,random_k,2,7,0.41056998479069307,0.4529791187324831,0.4317918037860144,500
sin_4pi,1500,7,random_k,3,7,0.43130476225507974,0.444278453593587,0.4368457380568759,500
sin_4pi,1500,7,random_k,4,7,0.3974318899761524,0.4510246490729166,0.423944495789728,500
